통계표,계정항목,단위,가중치,변환,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
4.2.1. 소비자물가지수,고사리,2020=100,0.1,원자료,122.83,123.33,123.36,124.12,123.89,123.66,123.37,123,123.09,123.36,124.19,124.43,124.46
4.2.1. 소비자물가지수,파프리카,2020=100,0.6,원자료,123.98,140.11,152.52,141.67,132.41,106.46,91.87,82.65,125.74,140.87,147.74,138.3,125.32
4.2.1. 소비자물가지수,단무지,2020=100,0.2,원자료,113.09,112.82,113.53,115.37,113.33,117.11,119.65,120.31,119.23,120.95,116.79,119.96,119.47
4.2.1. 소비자물가지수,김,2020=100,0.5,원자료,149.53,149.46,149.82,152.81,149.89,150.25,151.85,151.71,152.12,152.76,153.78,154.84,154.81
4.2.1. 소비자물가지수,맛김,2020=100,0.5,원자료,129.46,130.37,128.67,129.34,129.09,128.69,132.19,130.02,129.27,129.64,129.12,129.78,130.68
4.2.1. 소비자물가지수,미역,2020=100,0.3,원자료,126.68,121.27,121.56,121.44,124.44,129.28,130.9,130.91,131.37,131.61,131.46,131.66,131.98
4.2.1. 소비자물가지수,"과자, 빙과류 및 당류",2020=100,10.4,원자료,122.27,122.39,123.26,124.16,126.79,127.01,126.61,127.06,126.85,127.26,126.84,127.35,127.12
4.2.1. 소비자물가지수,초콜릿,2020=100,0.5,원자료,139.63,140.57,139.62,145.78,153.25,154.42,160.93,163.4,163.45,163.74,163.04,163.37,163.66
4.2.1. 소비자물가지수,사탕,2020=100,0.8,원자료,116.12,115.83,116.13,108.99,116.6,116.47,115.65,115.7,115.05,115.96,115.26,115.33,114.8
4.2.1. 소비자물가지수,껌,2020=100,0.1,원자료,116.24,115.26,116.31,115.6,116.47,116.17,116.53,116.37,116.42,116.47,116.47,116.5,117.02
4.2.1. 소비자물가지수,아이스크림,2020=100,2.6,원자료,123.13,123.55,123.7,127.07,128.37,129.12,128.57,128.25,127.9,128.23,128.03,128.42,128.31
4.2.1. 소비자물가지수,비스킷,2020=100,1.9,원자료,130.61,131.2,134.13,134.45,134.53,134.68,131.94,133.28,132.78,133.49,133.49,135.19,134.33
4.2.1. 소비자물가지수,스낵과자,2020=100,2.9,원자료,113.65,113.3,114.33,114.54,118.58,118.6,118.25,118.99,118.95,119.18,119.04,118.89,118.74
4.2.1. 소비자물가지수,파이,2020=100,0.6,원자료,113.25,113.49,113.4,115.21,115.91,115.66,115.95,116.18,115.91,115.93,116.61,115.95,115.93
4.2.1. 소비자물가지수,설탕,2020=100,0.3,원자료,146.74,147.14,147.45,146.66,148.09,148.14,146.67,148.03,148.21,148.28,147.56,147.45,147.4
4.2.1. 소비자물가지수,잼,2020=100,0.1,원자료,153.81,152.41,157.42,167.58,171.98,165.4,171.85,170.9,172.18,172.63,164.36,171.06,168.68
4.2.1. 소비자물가지수,꿀,2020=100,0.4,원자료,114.4,115.44,115.62,115.46,116.14,116.35,116.41,116.4,116.74,116.33,116.16,116.46,116.45
4.2.1. 소비자물가지수,물엿,2020=100,0.2,원자료,140.81,137.74,137.96,141.08,140.51,141.24,142.32,137.36,138.36,141.73,131.84,138.33,140.15
4.2.1. 소비자물가지수,기타 식료품,2020=100,15.7,원자료,120.93,121.04,121.68,122.62,123.55,123.49,123.54,123.5,124.39,124.17,123.73,123.8,123.94
4.2.1. 소비자물가지수,고춧가루,2020=100,1.6,원자료,114.37,114.89,115.52,114.96,115.52,115.71,115.65,114.49,115.4,114.51,114.17,113.53,114.78
4.2.1. 소비자물가지수,참깨,2020=100,0.6,원자료,133.16,133.51,133.62,133.7,133.96,134,133.92,134.08,134.22,134.2,134.31,134.37,134.38
4.2.1. 소비자물가지수,생강,2020=100,0.1,원자료,85.75,90.1,92.66,94.33,94.1,94.76,96.04,97.4,105.83,121.21,114.88,90.33,94.45
4.2.1. 소비자물가지수,소금,2020=100,0.2,원자료,176.17,176.69,176.77,176.73,176.73,175.84,176.59,176.56,176.59,176.6,176.52,176.35,176.03
4.2.1. 소비자물가지수,간장,2020=100,0.4,원자료,128.65,128.69,128.6,128.57,129.29,129.33,128.93,129.85,128.36,129.82,128.99,129.01,129.47
4.2.1. 소비자물가지수,된장,2020=100,0.4,원자료,128.34,126.51,127.59,127.87,129.43,126.11,127.5,130.93,129.95,130.12,130.44,131.96,126.13
4.2.1. 소비자물가지수,양념소스,2020=100,0.5,원자료,124.38,123.84,127.72,129.21,133.01,132.93,136.32,136.8,141.43,141.01,137.18,139.07,137.47
4.2.1. 소비자물가지수,고추장,2020=100,0.3,원자료,121.48,122.22,122.98,123.07,124.71,128.53,132.06,134.26,134.55,137.07,134.24,135.88,134.05
4.2.1. 소비자물가지수,카레,2020=100,0.2,원자료,129.9,130.04,130.67,129.67,131.85,131.56,131.04,131.65,131.13,131.98,130.16,131.07,131.27
4.2.1. 소비자물가지수,식초,2020=100,0.1,원자료,135.73,136.13,136.48,144.94,146.08,146.42,146.53,146.94,145.06,146.69,148.7,147.31,147.98
4.2.1. 소비자물가지수,드레싱,2020=100,0.2,원자료,151.45,152.59,152.89,161.82,161.77,161.41,161.49,161.17,160.44,161.2,161.18,162.52,162.5
4.2.1. 소비자물가지수,혼합조미료,2020=100,0.3,원자료,131.02,131.39,131.55,130.91,132.17,132.4,131.82,134.85,134.61,133.3,132.22,134.86,134.66
4.2.1. 소비자물가지수,스프,2020=100,0.3,원자료,129.48,129.55,129.72,129.71,129.71,129.58,129.45,129.71,129.69,129.71,129.82,129.79,129.68
4.2.1. 소비자물가지수,이유식,2020=100,0.3,원자료,111.12,111.12,111.12,111.12,111.12,111.12,111.12,111.12,111.12,111.12,111.12,111.12,111.12
4.2.1. 소비자물가지수,김치,2020=100,1.3,원자료,134.23,134.98,136.56,135.6,138.41,134.76,136.82,133.51,133.65,134.63,134.45,134.36,132.98
4.2.1. 소비자물가지수,밑반찬,2020=100,3.1,원자료,112.96,112.93,112.9,114.18,114.8,115.03,115.34,115.53,115.24,116.31,116.31,117.05,117.16
4.2.1. 소비자물가지수,냉동식품,2020=100,1.9,원자료,116.48,115,116.92,120.01,119.46,120.59,120.69,118.92,121.46,121.63,120.24,121.23,117.68
4.2.1. 소비자물가지수,즉석식품,2020=100,3.1,원자료,121.75,122.34,122,123.1,124.77,124.98,122.66,124.06,125.97,122.34,122.69,121.96,125.76
4.2.1. 소비자물가지수,편의점도시락,2020=100,0.4,원자료,113.29,114.75,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,117.3,118.57,118.57
4.2.1. 소비자물가지수,삼각김밥,2020=100,0.4,원자료,110.84,110.86,110.97,110.99,110.99,111.2,112.36,112.95,113.26,113.26,113.29,113.85,114.12
4.2.1. 소비자물가지수,비주류 음료,2020=100,9.7,원자료,124.74,126.27,125.46,126.67,126.88,125.49,127.86,129.39,129.02,128.42,129.82,129.92,130.03
4.2.1. 소비자물가지수,"커피, 차 및 코코아",2020=100,3.5,원자료,132.35,133.66,132.24,134.58,134.1,131.43,136.77,140.12,139.2,137.2,140.54,140.39,140.53
4.2.1. 소비자물가지수,커피,2020=100,2.6,원자료,133.62,134.59,133.72,133.83,134.74,134.66,139.67,142.87,143.19,142.85,143.2,143.54,143.98
4.2.1. 소비자물가지수,차,2020=100,0.9,원자료,128.34,130.62,127.66,136.17,131.82,122.01,128.25,131.98,127.66,121.06,132.63,131.15,130.44
4.2.1. 소비자물가지수,"생수, 청량음료, 과일주스 및 채소주스",2020=100,6.2,원자료,120.45,122.1,121.63,122.18,122.81,122.13,122.83,123.32,123.26,123.46,123.78,124.01,124.09
4.2.1. 소비자물가지수,주스,2020=100,1.4,원자료,129.56,129.39,129.4,129.99,130.08,130.76,133.47,134.66,135.36,136.19,135.58,135.91,136.26
4.2.1. 소비자물가지수,두유,2020=100,0.8,원자료,126.09,126.1,126.03,130.01,126.11,124.06,119.78,129.32,124.18,125.29,128.38,123.67,124.92
4.2.1. 소비자물가지수,생수,2020=100,1.3,원자료,113.79,117.35,113.56,113.46,116.43,117.4,116.85,116.13,116.55,116.88,117.27,117.41,116.35
4.2.1. 소비자물가지수,기능성음료,2020=100,0.5,원자료,114.5,114.76,115.78,118.44,120.52,120.75,121.08,120.49,120.7,121.16,121.42,121.2,120.94
4.2.1. 소비자물가지수,탄산음료,2020=100,1.6,원자료,115.44,118.83,120.02,120.35,119.6,117.44,120.24,117.83,117.89,116.97,115.71,118.66,119.88
4.2.1. 소비자물가지수,기타음료,2020=100,0.6,원자료,123.56,123.77,123.76,120.08,124.89,122.05,122.26,120.47,123.68,123.63,126.46,126.37,124.36
4.2.1. 소비자물가지수,주류 및 담배,2020=100,15.8,원자료,104.58,104.61,104.69,104.72,104.79,104.75,104.87,104.88,104.91,105.05,105.1,104.87,104.63
4.2.1. 소비자물가지수,주류,2020=100,6.5,원자료,111.82,111.9,112.09,112.17,112.33,112.61,112.91,112.93,113,113.37,113.49,112.9,112.3
4.2.1. 소비자물가지수,주류,2020=100,6.5,원자료,111.82,111.9,112.09,112.17,112.33,112.61,112.91,112.93,113,113.37,113.49,112.9,112.3
4.2.1. 소비자물가지수,소주,2020=100,1.7,원자료,108.29,108.54,108.48,108.48,108.36,108.52,108.49,108.51,108.44,108.64,108.39,108.44,108.52
4.2.1. 소비자물가지수,과실주,2020=100,0.8,원자료,101.4,102,101.99,102.84,105.29,102.67,102.99,102.2,99.68,105.44,102.78,101.99,98.83
4.2.1. 소비자물가지수,맥주,2020=100,3,원자료,112.76,112.97,113,113.01,113.94,114.93,115.64,115.74,115.71,115.87,115.84,116,115.79
